         3538 function calls (3421 primitive calls) in 0.040 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_transform.py:197(as_literal)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/backends/base/base.py:327(cursor)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/backends/base/base.py:304(_cursor)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_transform.py:125(set_pgresult)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/where.py:114(as_sql)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/inspect.py:3091(signature)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/inspect.py:2839(from_callable)
      8/4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/inspect.py:2206(_signature_from_callable)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/cursor.py:389(_start_query)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/lookups.py:343(as_sql)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/lookups.py:223(as_sql)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_transform.py:152(<listcomp>)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/__init__.py:501(cached_col)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/client_cursor.py:43(_execute_send)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1848(<listcomp>)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/lookups.py:213(process_lhs)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:271(send_query)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1732(as_sql)
  109/105    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/backends/postgresql/base.py:321(create_cursor)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_queries.py:236(_query2pg_client_nocache)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/connection.py:493(_start_query)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:524(get_result)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:296(get_compiler)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/utils.py:96(inner)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_queries.py:337(_split_query)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/connection.py:846(cursor)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:2087(cursor_iter)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/connection.py:442(_exec_command)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_transform.py:228(get_dumper)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/inspect.py:2112(_signature_from_function)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_transform.py:342(get_loader)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:1294(build_lookup)
